Nome,Endereço,Telefone,Email,Gênero,Nascimento,Profissão,CEP,Estado Civil
Rodnei,670,19345600980,obrabo@gmail.com,Feminino,10/05/89,Programador,13456773,Casado
Cleber,"Av. Do Repolho, Nº80, Jardim Batista",19999999999,e@mail.com,Masculino,20/04/2002,Auxiliar,13616410,Solteiro
Cleiton,"9966 Vance Knolls Suite 673 - Bristol, NJ / 72185",19899889124,clei@ton.com,Masculino,12/03/2021,Suporte,13616410,
Lula,,19988745632,pessoa@yahoo.com,,,,,
Epaminondas,,19912365478,etevaldo@hotmail.com,Masculino,,Pizzaziolo,,Solteiro
Jp,,19997899599,joaopedrobhz@gmail.com,Masculino,19/11/2002,Suporte,13616410,Solteiro
Josué,"Rua 8 de abril, 78",161234566789,josuesilva@gmail.com,Masculino,09/03/1998,,13508392,Casado
Vitor pereira,Av. Dr. Nelson d' Ávila 296,19998999898,oemail@arroba.com,Não definido,,,,
Roberval,Centro,19999945465,oemail@arroba.com,Masculino,03/08/1994,Carteiro,13848989,Solteiro
,"Rua Sim, Nº2, Jardim Paraíba",,,,,,,
Felipe,"Rua Dolores, Nº40, Jardim Presidente",19997293841,flp044@gmail.com,Masculino,20/05/2000,DBA,13617754,Casado
João,"Rua: 13 de Maio, 745 - centro",19 999999999,joao@joao.com,Masculino,11/08/2001,,,
Deyverson,Av. Francisco Matarazzo,11 48006688,deyvershow@gmail.com,Masculino,08/05/1991,Jogador de futebol,135749374,Casado
Leôncio,"Av. Do Repolho, Nº80, Jardim Batista",,leticia@gmail.com,Feminino,,,,
Dolores,,1995556332,,,,,,Solteiro
Girafales,Rua Batatinhas,1966574125,,Masculino,,,,
Pedro,"Av: Da Saudade, 60, Centro",19 123456789,pedro@pedro.com,Masculino,,Pedreiro,,Casado
Carlos,Centrão,19967897645,carlos@carlos.com,Masculino,01/01/1978,Casado,1361798,
José,Pq. das Arvores,19854567485,josé.6@hotmail.com,Masculino,01/09/03,Analista,13245678,
Arnaldo,"Rua João da Costa, 348",11987654321,,Masculino,09/12/2000,Comentarista,,
Luiz,"Rua Tiradentes, 735",11 9 96562363,luiz@fatec.com,Masculino,02/03/1197,,13666666,Solteiro
Vitor,Avenida 29,19 963258741,email@email.com,Masculino,05/08/1950,,,Casado
Amanda,"Rua do Alface Verde, 229",,amanda@gmail.com,Feminino,,,,Solteiro
